lat,lon,2020-01-22 00:00:00,Date,Value
-30.5595,22.9375,0,2020-01-23 00:00:00,0
40.0,-4.0,0,2020-01-23 00:00:00,0
7.0,81.0,0,2020-01-23 00:00:00,0
12.8628,30.2176,0,2020-01-23 00:00:00,0
3.9193,-56.0278,0,2020-01-23 00:00:00,0
63.0,16.0,0,2020-01-23 00:00:00,0
46.8182,8.2275,0,2020-01-23 00:00:00,0
23.7,121.0,1,2020-01-23 00:00:00,1
-6.369,34.8888,0,2020-01-23 00:00:00,0
15.0,101.0,2,2020-01-23 00:00:00,3
8.6195,0.8248,0,2020-01-23 00:00:00,0
10.6918,-61.2225,0,2020-01-23 00:00:00,0
34.0,9.0,0,2020-01-23 00:00:00,0
38.9637,35.2433,0,2020-01-23 00:00:00,0
1.0,32.0,0,2020-01-23 00:00:00,0
48.3794,31.1656,0,2020-01-23 00:00:00,0
24.0,54.0,0,2020-01-23 00:00:00,0
32.3078,-64.7505,0,2020-01-23 00:00:00,0
19.3133,-81.2546,0,2020-01-23 00:00:00,0
49.3723,-2.3644,0,2020-01-23 00:00:00,0
36.1408,-5.3536,0,2020-01-23 00:00:00,0
54.2361,-4.5481,0,2020-01-23 00:00:00,0
16.7425,-62.1874,0,2020-01-23 00:00:00,0
55.3781,-3.4360000000000004,0,2020-01-23 00:00:00,0
-32.5228,-55.7658,0,2020-01-23 00:00:00,0
37.0902,-95.7129,1,2020-01-23 00:00:00,1
41.3775,64.5853,0,2020-01-23 00:00:00,0
6.4238,-66.5897,0,2020-01-23 00:00:00,0
16.0,108.0,0,2020-01-23 00:00:00,2
-15.4167,28.2833,0,2020-01-23 00:00:00,0
-20.0,30.0,0,2020-01-23 00:00:00,0
15.415,-61.371,0,2020-01-23 00:00:00,0
12.1165,-61.679,0,2020-01-23 00:00:00,0
-18.665695,35.529562,0,2020-01-23 00:00:00,0
34.802075,38.99681500000001,0,2020-01-23 00:00:00,0
-8.874217,125.727539,0,2020-01-23 00:00:00,0
13.1939,-59.5432,0,2020-01-23 00:00:00,0
0.0,0.0,0,2020-01-23 00:00:00,0
19.85627,102.495496,0,2020-01-23 00:00:00,0
26.3351,17.228331,0,2020-01-23 00:00:00,0
31.9522,35.2332,0,2020-01-23 00:00:00,0
11.8037,-15.1804,0,2020-01-23 00:00:00,0
17.570692,-3.996166000000001,0,2020-01-23 00:00:00,0
17.357822,-62.782998,0,2020-01-23 00:00:00,0
64.8255,-124.8457,0,2020-01-23 00:00:00,0
64.2823,-135.0,0,2020-01-23 00:00:00,0
42.602636,20.902977,0,2020-01-23 00:00:00,0
33.0,65.0,0,2020-01-24 00:00:00,0
41.1533,20.1683,0,2020-01-24 00:00:00,0
